#No.	Label Name:	R	G	B	A
#	
1114	0  ctx_lh_Lat_Fis-ant-Vertical	6	1	20  6	0   0
1114	1  ctx_lh_Lat_Fis-post	6	1	60 10	0   0
1114	2  ctx_lh_Medial_wall	2	5	25  2	5   0
1114	3  ctx_lh_Pole_occipital	14	0	20  6	0   0
1114	4  ctx_lh_Pole_temporal	22	0 1	80  2	0   0
1114	5  ctx_lh_S_calcarine	6	3 1	80 18	0   0
1114	6  ctx_lh_S_central	22	1	20  1	0   0
1114	7  ctx_lh_S_cingul-Marginalis	22	1	20 10	0   0
1114	8  ctx_lh_S_circular_insula_ant	22	1	60 14	0   0
1114	9  ctx_lh_S_circular_insula_inf	22	1	20 22	0   0
1115	0  ctx_lh_S_circular_insula_sup	6	1 2	20 22	0   0
1115	1  ctx_lh_S_collat_transv_ant	10	0 2	00 20	0   0
1115	2  ctx_lh_S_collat_transv_post	1	0 2	00 20	0   0
1115	3  ctx_lh_S_front_inf	22	1 2	20  2	0   0
1115	4  ctx_lh_S_front_middle	14	1	20 10	0   0
1115	5  ctx_lh_S_front_sup	6	1 2	20 10	0   0
1115	6  ctx_lh_S_interm_prim-Jensen	14	1	60  2	0   0
1115	7  ctx_lh_S_intrapariet_and_P_tr	ans       14	3	20 22	0   0
1115	8  ctx_lh_S_oc_middle_and_Lunatu	s         10	1	60 22	0   0
1115	9  ctx_lh_S_oc_sup_and_transvers	al         2	1	20 14	0   0
1116	0  ctx_lh_S_occipital_ant	6	1	20 18	0   0
1116	1  ctx_lh_S_oc-temp_lat	22	1 1	40  2	0   0
1116	2  ctx_lh_S_oc-temp_med_and_Ling	ual       14	1 1	00 22	0   0
1116	3  ctx_lh_S_orbital_lateral	22	1 1	00  2	0   0
1116	4  ctx_lh_S_orbital_med-olfact	18	1 2	00  2	0   0
1116	5  ctx_lh_S_orbital-H_Shaped	10	1	20  2	0   0
1116	6  ctx_lh_S_parieto_occipital	10	1 1	00 18	0   0
1116	7  ctx_lh_S_pericallosal	18	1 2	20  2	0   0
1116	8  ctx_lh_S_postcentral	2	1 1	40 20	0   0
1116	9  ctx_lh_S_precentral-inf-part	2	1	20 24	0   0
1117	0  ctx_lh_S_precentral-sup-part	2	1	20 20	0   0
1117	1  ctx_lh_S_suborbital	2	1	20  6	0   0
1117	2  ctx_lh_S_subparietal	10	1	60  6	0   0
1117	3  ctx_lh_S_temporal_inf	2	1 1	80 18	0   0
1117	4  ctx_lh_S_temporal_sup	22	3 2	20  6	0   0
1117	5  ctx_lh_S_temporal_transverse	22	1	60  6	0   0
					
1210	0  ctx_rh_Unknown	0	0	0   0
1210	1  ctx_rh_G_and_S_frontomargin	2	3 2	20  6	0   0
1210	2  ctx_rh_G_and_S_occipital_inf	2	3	60 18	0   0
1210	3  ctx_rh_G_and_S_paracentral	6	3 1	00  6	0   0
1210	4  ctx_rh_G_and_S_subcentral	6	3	20 22	0   0
1210	5  ctx_rh_G_and_S_transv_frontop	ol         1	3	0 25	0   0
1210	6  ctx_rh_G_and_S_cingul-Ant	2	6	60	0   0
1210	7  ctx_rh_G_and_S_cingul-Mid-Ant	2	6	60  7	5   0
1210	8  ctx_rh_G_and_S_cingul-Mid-Pos	t          2	6	60 15	0   0
1210	9  ctx_rh_G_cingul-Post-dorsal	2	5	60 25	0   0
1211	0  ctx_rh_G_cingul-Post-ventral	6	0	25  2	5   0
1211	1  ctx_rh_G_cuneus	18	0	20  2	0   0
1211	2  ctx_rh_G_front_inf-Opercular	22	0	20 10	0   0
1211	3  ctx_rh_G_front_inf-Orbital	14	0	60  6	0   0
1211	4  ctx_rh_G_front_inf-Triangul	18	0 2	20 14	0   0
1211	5  ctx_rh_G_front_middle	14	0 1	00 18	0   0
1211	6  ctx_rh_G_front_sup	18	0	20 14	0   0
1211	7  ctx_rh_G_Ins_lg_and_S_cent_in	s          2	3	10  1	0   0
1211	8  ctx_rh_G_insular_short	22	5 1	40 14	0   0
1211	9  ctx_rh_G_occipital_middle	18	0	60 18	0   0
1212	0  ctx_rh_G_occipital_sup	2	0 2	20  6	0   0
1212	1  ctx_rh_G_oc-temp_lat-fusifor	6	0	20 14	0   0
1212	2  ctx_rh_G_oc-temp_med-Lingual	22	0 1	80 14	0   0
1212	3  ctx_rh_G_oc-temp_med-Parahip	6	5 1	00  2	0   0
1212	4  ctx_rh_G_orbital	22	0	60  2	0   0
1212	5  ctx_rh_G_pariet_inf-Angular	2	0	60 22	0   0
1212	6  ctx_rh_G_pariet_inf-Supramar	10	0 1	00  6	0   0
1212	7  ctx_rh_G_parietal_sup	22	0 1	80 22	0   0
1212	8  ctx_rh_G_postcentral	2	0 1	80 14	0   0
1212	9  ctx_rh_G_precentral	6	0 1	40 18	0   0
1213	0  ctx_rh_G_precuneus	2	5	20 14	0   0
1213	1  ctx_rh_G_rectus	2	0	60 10	0   0
1213	2  ctx_rh_G_subcallosal	6	0 2	20  2	0   0
1213	3  ctx_rh_G_temp_sup-G_T_transv	6	0	60 22	0   0
1213	4  ctx_rh_G_temp_sup-Lateral	22	0	60 22	0   0
1213	5  ctx_rh_G_temp_sup-Plan_polar	6	5 2	20  6	0   0
1213	6  ctx_rh_G_temp_sup-Plan_tempo	2	5 1	40  2	0   0
1213	7  ctx_rh_G_temporal_inf	22	0 2	20 10	0   0
1213	8  ctx_rh_G_temporal_middle	18	0	60  6	0   0
1213	9  ctx_rh_Lat_Fis-ant-Horizont	6	1	20 22	0   0
1214	0  ctx_rh_Lat_Fis-ant-Vertical	6	1	20  6	0   0
1214	1  ctx_rh_Lat_Fis-post	6	1	60 10	0   0
1214	2  ctx_rh_Medial_wall	2	5	25  2	5   0
1214	3  ctx_rh_Pole_occipital	14	0	20  6	0   0
1214	4  ctx_rh_Pole_temporal	22	0 1	80  2	0   0
1214	5  ctx_rh_S_calcarine	6	3 1	80 18	0   0
1214	6  ctx_rh_S_central	22	1	20  1	0   0
1214	7  ctx_rh_S_cingul-Marginalis	22	1	20 10	0   0
1214	8  ctx_rh_S_circular_insula_ant	22	1	60 14	0   0
1214	9  ctx_rh_S_circular_insula_inf	22	1	20 22	0   0
1215	0  ctx_rh_S_circular_insula_sup	6	1 2	20 22	0   0
1215	1  ctx_rh_S_collat_transv_ant	10	0 2	00 20	0   0
1215	2  ctx_rh_S_collat_transv_post	1	0 2	00 20	0   0
1215	3  ctx_rh_S_front_inf	22	1 2	20  2	0   0
1215	4  ctx_rh_S_front_middle	14	1	20 10	0   0
1215	5  ctx_rh_S_front_sup	6	1 2	20 10	0   0
1215	6  ctx_rh_S_interm_prim-Jensen	14	1	60  2	0   0
1215	7  ctx_rh_S_intrapariet_and_P_tr	ans       14	3	20 22	0   0
1215	8  ctx_rh_S_oc_middle_and_Lunatu	s         10	1	60 22	0   0
1215	9  ctx_rh_S_oc_sup_and_transvers	al         2	1	20 14	0   0
1216	0  ctx_rh_S_occipital_ant	6	1	20 18	0   0
1216	1  ctx_rh_S_oc-temp_lat	22	1 1	40  2	0   0
1216	2  ctx_rh_S_oc-temp_med_and_Ling	ual       14	1 1	00 22	0   0
1216	3  ctx_rh_S_orbital_lateral	22	1 1	00  2	0   0
1216	4  ctx_rh_S_orbital_med-olfact	18	1 2	00  2	0   0
1216	5  ctx_rh_S_orbital-H_Shaped	10	1	20  2	0   0
1216	6  ctx_rh_S_parieto_occipital	10	1 1	00 18	0   0
1216	7  ctx_rh_S_pericallosal	18	1 2	20  2	0   0
1216	8  ctx_rh_S_postcentral	2	1 1	40 20	0   0
1216	9  ctx_rh_S_precentral-inf-part	2	1	20 24	0   0
1217	0  ctx_rh_S_precentral-sup-part	2	1	20 20	0   0
1217	1  ctx_rh_S_suborbital	2	1	20  6	0   0
1217	2  ctx_rh_S_subparietal	10	1	60  6	0   0
1217	3  ctx_rh_S_temporal_inf	2	1 1	80 18	0   0
1217	4  ctx_rh_S_temporal_sup	22	3 2	20  6	0   0
1217	5  ctx_rh_S_temporal_transverse	22	1	60  6	0   0
					
#No.	Label Name:	R	G	B   A
1310	0  wm_lh_Unknown	0	0	0   0
1310	1  wm_lh_G_and_S_frontomargin	2	3 2	20  6	0   0
1310	2  wm_lh_G_and_S_occipital_inf	2	3	60 18	0   0
1310	3  wm_lh_G_and_S_paracentral	6	3 1	00  6	0   0
1310	4  wm_lh_G_and_S_subcentral	6	3	20 22	0   0
1310	5  wm_lh_G_and_S_transv_frontopo	l          1	3	0 25	0   0
1310	6  wm_lh_G_and_S_cingul-Ant	2	6	60	0   0
1310	7  wm_lh_G_and_S_cingul-Mid-Ant	2	6	60  7	5   0
1310	8  wm_lh_G_and_S_cingul-Mid-Post	2	6	60 15	0   0
1310	9  wm_lh_G_cingul-Post-dorsal	2	5	60 25	0   0
1311	0  wm_lh_G_cingul-Post-ventral	6	0	25  2	5   0
1311	1  wm_lh_G_cuneus	18	0	20  2	0   0
1311	2  wm_lh_G_front_inf-Opercular	22	0	20 10	0   0
1311	3  wm_lh_G_front_inf-Orbital	14	0	60  6	0   0
1311	4  wm_lh_G_front_inf-Triangul	18	0 2	20 14	0   0
1311	5  wm_lh_G_front_middle	14	0 1	00 18	0   0
1311	6  wm_lh_G_front_sup	18	0	20 14	0   0
1311	7  wm_lh_G_Ins_lg_and_S_cent_ins	2	3	10  1	0   0
1311	8  wm_lh_G_insular_short	22	5 1	40 14	0   0
1311	9  wm_lh_G_occipital_middle	18	0	60 18	0   0
1312	0  wm_lh_G_occipital_sup	2	0 2	20  6	0   0
1312	1  wm_lh_G_oc-temp_lat-fusifor	6	0	20 14	0   0
1312	2  wm_lh_G_oc-temp_med-Lingual	22	0 1	80 14	0   0
1312	3  wm_lh_G_oc-temp_med-Parahip	6	5 1	00  2	0   0
1312	4  wm_lh_G_orbital	22	0	60  2	0   0
1312	5  wm_lh_G_pariet_inf-Angular	2	0	60 22	0   0
1312	6  wm_lh_G_pariet_inf-Supramar	10	0 1	00  6	0   0
1312	7  wm_lh_G_parietal_sup	22	0 1	80 22	0   0
1312	8  wm_lh_G_postcentral	2	0 1	80 14	0   0
1312	9  wm_lh_G_precentral	6	0 1	40 18	0   0
1313	0  wm_lh_G_precuneus	2	5	20 14	0   0
1313	1  wm_lh_G_rectus	2	0	60 10	0   0
1313	2  wm_lh_G_subcallosal	6	0 2	20  2	0   0
1313	3  wm_lh_G_temp_sup-G_T_transv	6	0	60 22	0   0
1313	4  wm_lh_G_temp_sup-Lateral	22	0	60 22	0   0
1313	5  wm_lh_G_temp_sup-Plan_polar	6	5 2	20  6	0   0
1313	6  wm_lh_G_temp_sup-Plan_tempo	2	5 1	40  2	0   0
1313	7  wm_lh_G_temporal_inf	22	0 2	20 10	0   0
1313	8  wm_lh_G_temporal_middle	18	0	60  6	0   0
1313	9  wm_lh_Lat_Fis-ant-Horizont	6	1	20 22	0   0
1314	0  wm_lh_Lat_Fis-ant-Vertical	6	1	20  6	0   0
1314	1  wm_lh_Lat_Fis-post	6	1	60 10	0   0
1314	2  wm_lh_Medial_wall	2	5	25  2	5   0
1314	3  wm_lh_Pole_occipital	14	0	20  6	0   0
1314	4  wm_lh_Pole_temporal	22	0 1	80  2	0   0
1314	5  wm_lh_S_calcarine	6	3 1	80 18	0   0
1314	6  wm_lh_S_central	22	1	20  1	0   0
1314	7  wm_lh_S_cingul-Marginalis	22	1	20 10	0   0
1314	8  wm_lh_S_circular_insula_ant	22	1	60 14	0   0
1314	9  wm_lh_S_circular_insula_inf	22	1	20 22	0   0
1315	0  wm_lh_S_circular_insula_sup	6	1 2	20 22	0   0
1315	1  wm_lh_S_collat_transv_ant	10	0 2	00 20	0   0
1315	2  wm_lh_S_collat_transv_post	1	0 2	00 20	0   0
1315	3  wm_lh_S_front_inf	22	1 2	20  2	0   0
1315	4  wm_lh_S_front_middle	14	1	20 10	0   0
1315	5  wm_lh_S_front_sup	6	1 2	20 10	0   0
1315	6  wm_lh_S_interm_prim-Jensen	14	1	60  2	0   0
1315	7  wm_lh_S_intrapariet_and_P_tra	ns        14	3	20 22	0   0
1315	8  wm_lh_S_oc_middle_and_Lunatus	10	1	60 22	0   0
1315	9  wm_lh_S_oc_sup_and_transversa	l          2	1	20 14	0   0
1316	0  wm_lh_S_occipital_ant	6	1	20 18	0   0
1316	1  wm_lh_S_oc-temp_lat	22	1 1	40  2	0   0
1316	2  wm_lh_S_oc-temp_med_and_Lingu	al        14	1 1	00 22	0   0
1316	3  wm_lh_S_orbital_lateral	22	1 1	00  2	0   0
1316	4  wm_lh_S_orbital_med-olfact	18	1 2	00  2	0   0
1316	5  wm_lh_S_orbital-H_Shaped	10	1	20  2	0   0
1316	6  wm_lh_S_parieto_occipital	10	1 1	00 18	0   0
1316	7  wm_lh_S_pericallosal	18	1 2	20  2	0   0
1316	8  wm_lh_S_postcentral	2	1 1	40 20	0   0
1316	9  wm_lh_S_precentral-inf-part	2	1	20 24	0   0
1317	0  wm_lh_S_precentral-sup-part	2	1	20 20	0   0
1317	1  wm_lh_S_suborbital	2	1	20  6	0   0
1317	2  wm_lh_S_subparietal	10	1	60  6	0   0
1317	3  wm_lh_S_temporal_inf	2	1 1	80 18	0   0
1317	4  wm_lh_S_temporal_sup	22	3 2	20  6	0   0
1317	5  wm_lh_S_temporal_transverse	22	1	60  6	0   0
					
1410	0  wm_rh_Unknown	0	0	0   0
1410	1  wm_rh_G_and_S_frontomargin	2	3 2	20  6	0   0
1410	2  wm_rh_G_and_S_occipital_inf	2	3	60 18	0   0
1410	3  wm_rh_G_and_S_paracentral	6	3 1	00  6	0   0
1410	4  wm_rh_G_and_S_subcentral	6	3	20 22	0   0
1410	5  wm_rh_G_and_S_transv_frontopo	l          1	3	0 25	0   0
1410	6  wm_rh_G_and_S_cingul-Ant	2	6	60	0   0
1410	7  wm_rh_G_and_S_cingul-Mid-Ant	2	6	60  7	5   0
1410	8  wm_rh_G_and_S_cingul-Mid-Post	2	6	60 15	0   0
1410	9  wm_rh_G_cingul-Post-dorsal	2	5	60 25	0   0
1411	0  wm_rh_G_cingul-Post-ventral	6	0	25  2	5   0
1411	1  wm_rh_G_cuneus	18	0	20  2	0   0
1411	2  wm_rh_G_front_inf-Opercular	22	0	20 10	0   0
1411	3  wm_rh_G_front_inf-Orbital	14	0	60  6	0   0
1411	4  wm_rh_G_front_inf-Triangul	18	0 2	20 14	0   0
1411	5  wm_rh_G_front_middle	14	0 1	00 18	0   0
1411	6  wm_rh_G_front_sup	18	0	20 14	0   0
1411	7  wm_rh_G_Ins_lg_and_S_cent_ins	2	3	10  1	0   0
1411	8  wm_rh_G_insular_short	22	5 1	40 14	0   0
1411	9  wm_rh_G_occipital_middle	18	0	60 18	0   0
1412	0  wm_rh_G_occipital_sup	2	0 2	20  6	0   0
1412	1  wm_rh_G_oc-temp_lat-fusifor	6	0	20 14	0   0
1412	2  wm_rh_G_oc-temp_med-Lingual	22	0 1	80 14	0   0
1412	3  wm_rh_G_oc-temp_med-Parahip	6	5 1	00  2	0   0
1412	4  wm_rh_G_orbital	22	0	60  2	0   0
1412	5  wm_rh_G_pariet_inf-Angular	2	0	60 22	0   0
1412	6  wm_rh_G_pariet_inf-Supramar	10	0 1	00  6	0   0
1412	7  wm_rh_G_parietal_sup	22	0 1	80 22	0   0
1412	8  wm_rh_G_postcentral	2	0 1	80 14	0   0
1412	9  wm_rh_G_precentral	6	0 1	40 18	0   0
1413	0  wm_rh_G_precuneus	2	5	20 14	0   0
1413	1  wm_rh_G_rectus	2	0	60 10	0   0
1413	2  wm_rh_G_subcallosal	6	0 2	20  2	0   0
1413	3  wm_rh_G_temp_sup-G_T_transv	6	0	60 22	0   0
1413	4  wm_rh_G_temp_sup-Lateral	22	0	60 22	0   0
1413	5  wm_rh_G_temp_sup-Plan_polar	6	5 2	20  6	0   0
1413	6  wm_rh_G_temp_sup-Plan_tempo	2	5 1	40  2	0   0
1413	7  wm_rh_G_temporal_inf	22	0 2	20 10	0   0
1413	8  wm_rh_G_temporal_middle	18	0	60  6	0   0
1413	9  wm_rh_Lat_Fis-ant-Horizont	6	1	20 22	0   0
1414	0  wm_rh_Lat_Fis-ant-Vertical	6	1	20  6	0   0
1414	1  wm_rh_Lat_Fis-post	6	1	60 10	0   0
1414	2  wm_rh_Medial_wall	2	5	25  2	5   0
1414	3  wm_rh_Pole_occipital	14	0	20  6	0   0
1414	4  wm_rh_Pole_temporal	22	0 1	80  2	0   0
1414	5  wm_rh_S_calcarine	6	3 1	80 18	0   0
1414	6  wm_rh_S_central	22	1	20  1	0   0
1414	7  wm_rh_S_cingul-Marginalis	22	1	20 10	0   0
1414	8  wm_rh_S_circular_insula_ant	22	1	60 14	0   0
1414	9  wm_rh_S_circular_insula_inf	22	1	20 22	0   0
1415	0  wm_rh_S_circular_insula_sup	6	1 2	20 22	0   0
1415	1  wm_rh_S_collat_transv_ant	10	0 2	00 20	0   0
1415	2  wm_rh_S_collat_transv_post	1	0 2	00 20	0   0
1415	3  wm_rh_S_front_inf	22	1 2	20  2	0   0
1415	4  wm_rh_S_front_middle	14	1	20 10	0   0
1415	5  wm_rh_S_front_sup	6	1 2	20 10	0   0
1415	6  wm_rh_S_interm_prim-Jensen	14	1	60  2	0   0
1415	7  wm_rh_S_intrapariet_and_P_tra	ns        14	3	20 22	0   0
1415	8  wm_rh_S_oc_middle_and_Lunatus	10	1	60 22	0   0
1415	9  wm_rh_S_oc_sup_and_transversa	l          2	1	20 14	0   0
1416	0  wm_rh_S_occipital_ant	6	1	20 18	0   0
1416	1  wm_rh_S_oc-temp_lat	22	1 1	40  2	0   0
1416	2  wm_rh_S_oc-temp_med_and_Lingu	al        14	1 1	00 22	0   0
1416	3  wm_rh_S_orbital_lateral	22	1 1	00  2	0   0
1416	4  wm_rh_S_orbital_med-olfact	18	1 2	00  2	0   0
1416	5  wm_rh_S_orbital-H_Shaped	10	1	20  2	0   0
1416	6  wm_rh_S_parieto_occipital	10	1 1	00 18	0   0
1416	7  wm_rh_S_pericallosal	18	1 2	20  2	0   0
1416	8  wm_rh_S_postcentral	2	1 1	40 20	0   0
1416	9  wm_rh_S_precentral-inf-part	2	1	20 24	0   0
1417	0  wm_rh_S_precentral-sup-part	2	1	20 20	0   0
1417	1  wm_rh_S_suborbital	2	1	20  6	0   0
1417	2  wm_rh_S_subparietal	10	1	60  6	0   0
1417	3  wm_rh_S_temporal_inf	2	1 1	80 18	0   0
1417	4  wm_rh_S_temporal_sup	22	3 2	20  6	0   0
1417	5  wm_rh_S_temporal_transverse	22	1	60  6	0   0
					
}}}	
					
* Th	alamus-Proper is the correct seg	mentation fo	r t	he Th	alamus.
